Item,Rate
Chicken Main Course,
Special China Shanghai Momo,Rs.105
Chicken Steamed Momo (6 pc),Rs.50
Chicken Fried Momo (6 pc),Rs.70
Chicken Pan Fried Momo (6 pc),Rs.90
Chicken Hot Garlic Momo (6 pc),Rs.95
Soul Momo (6 pc),Rs.105
Chicken Thukpa,Rs.100
Chicken Manchurian,Rs.135
Sing Zong Chicken,Rs.155
Chicken in Black Bean in Oyster Sauce,Rs.155
Schezwan Chicken,Rs.145
Hong Kong Chicken,Rs.145
Shredded Chicken in Basil Sauce,Rs.165
Kan Paw Chicken With Kaju,Rs.165
Bang Bang Chicken,Rs.175
Sweet & Sour Chicken,Rs.155
Shredded Chicken in Coriander Sauce,Rs.155
Garlic Chicken,Rs.155
Chilli Chicken,Rs.155
Hakka Noodles (Chicken),Rs.120
Hong Kong Noodles (Chicken),Rs.130
Schezwan Noodles (Chicken),Rs.130
Woktos Noodles (Chicken),Rs.120
Singapore Noodles (Chicken),Rs.130
Pan Fried Noodles (Gravy) (Chicken),Rs.135
Cantonese Noodles (Gravy) (Chicken),Rs.125
Veg Main Course,
Veg Thukpa,Rs.80
Veg Manchurian,Rs.105
Stir Fried Veg With Oyster Sauce,Rs.85
Exotic Veg With Chilli Garlic Sauce,Rs.95
Chinese With Giant Corn,Rs.135
Chilli Potato,Rs.75
Hakka Noodles (Veg),Rs.80
Hong Kong Noodles (Veg),Rs.100
Schezwan Noodles (Veg),Rs.100
Woktos Noodles (Veg),Rs.100
Singapore Noodles (Veg),Rs.110
Pan Fried Noodles (Gravy) (Veg),Rs.105
Cantonese Noodles (Gravy) (Veg),Rs.105
Egg Main Course,
Egg Thukpa,Rs.90
Hakka Noodles (Egg),Rs.90
Hong Kong Noodles (Egg),Rs.120
Schezwan Noodles (Egg),Rs.120
Woktos Noodles (Egg),Rs.110
Singapore Noodles (Egg),Rs.120
Pan Fried Noodles (Gravy) (Egg),Rs.115
Cantonese Noodles (Gravy) (Egg),Rs.115
Fish Main Course,
Prawn Thukpa,Rs.100
Sliced Fish in Corriender Sauce (8 pc),Rs.175
Fish In Chilli/ Oyster Sauce,Rs.205
Schezwan Fish,Rs.205
Hong & kong Fish,Rs.205
Yunan Fish,Rs.185
Fish Singapore,Rs.185
Sweet & Sour Fish,Rs.205
Mandarin Fish,Rs.205
Garlic Fish,Rs.185
Hot Garlic Fish,Rs.175
Chilli Fish,Rs.180
Special China Shanghai Prawn (6 pc),Rs.205
Prawn in Chilli Garlic With With Oyester Sauce (6 pc),Rs.205
Schezwan Prawn (6 pc),Rs.205
Hong Kong Prawn,Rs.205
Chilli Garlic Prawn (6 pc),Rs.205
Sweet & Sour Prawn (6 pc),Rs.205
Prawn in Coriander Sauce (6 pc),Rs.205
Manchurian Prawn (6 pc),Rs.205
Chilli Prawn,Rs.180
Hakka Noodles (Prawn),Rs.120
Hong Kong Noodles (Prawn),Rs.130
Schezwan Noodles (Prawn),Rs.130
Woktos Noodles (Prawn),Rs.130
Singapore Noodles (Prawn),Rs.140
Pan Fried Noodles (Gravy) (Prawn),Rs.145
Cantonese Noodles (Gravy) (Prawn),Rs.135
Mixed Main Course,
Mixed Thukpa (N.V),Rs.110
China Shanghai Spcl Noodles (Mix),Rs.160
Hakka Noodles (Mixed),Rs.150
Hong Kong Noodles (Mixed),Rs.150
Schezwan Noodles (Mixed),Rs.150
Woktos Noodles (Mixed),Rs.150
Singapore Noodles (Mixed),Rs.160
Pan Fried Noodles (Gravy) (Mixed),Rs.155
Cantonese Noodles (Gravy) (Mixed),Rs.155
Chicken Starter,
China Shanghai Special Soup,Rs.105
Manchow Soup (Chicken),Rs.75
Hot & Sour Soup (Chicken),Rs.80
Special Clear Soup (Chicken),Rs.75
Corriender Soup (Chicken),Rs.75
Lung Fung Soup (Chicken),Rs.95
Mushroom Soup (Chicken),Rs.75
Chicken Tai Pai,Rs.185
Aromatic Chicken With Garlic,Rs.165
Crispy Chicken Chilli Honey,Rs.165
Chicken Lollipop,Rs.155
Crispy Chicken,Rs.165
Chicken China Shanghai Special,Rs.185
Lat Mai Kai Chicken,Rs.165
Red Pepper Chicken,Rs.185
Shredded Chilli Chicken,Rs.165
Barbecue Chicken,Rs.185
Mill Papper Chicken,Rs.175
Chicken Roll,Rs.35
Liver Roll,Rs.35
Veg Starter,
Sweet Corn Soup (Veg),Rs.50
Manchow Soup (Veg),Rs.65
Hot & Sour Soup (Veg),Rs.65
Corriender Soup (Veg),Rs.65
Crispy Chilli Baby Corn,Rs.105
American Corn Salt & Pepper,Rs.85
Crispy Mushroom Salt & Pepper,Rs.105
Crispy Chlli Potatoes,Rs.80
Crunchy Crispy Mixed Veg,Rs.125
Chinese Mixed Veg,Rs.125
Potato Roll,Rs.20
Egg Starter,
Manchow Soup (Egg),Rs.70
Hot & Sour Soup (Egg),Rs.75
Corriender Soup (Egg),Rs.70
Mushroom Soup (Egg),Rs.70
Egg Roll,Rs.25
Mixed Starter,
Manchow Soup (Mixed),Rs.80
Hot & Sour Soup (Mixed),Rs.85
Corriender Soup (Mixed),Rs.85
Fish Starter,
Corriender Soup (Prawn),Rs.80
Mushroom Soup (Prawn),Rs.80
Sea Food Soup,Rs.105
Mill Papper Prawn/ Fish,Rs.205
Golden Fry Prawn,Rs.205
Tiger Prawn,Rs.205
Pan Fried Prawn,Rs.205
Pan Fry Chilli Fish,Rs.205
Prawn China Shanghai,Rs.205
Mushroom Starter,
Mushroom Soup (Veg),Rs.65
Paneer Starter,
Chilli Paneer,Rs.125
Mushroom Main Course,
Chilli Mushroom,Rs.135
Paneer Main Course,
Chilli Paneer,Rs.125
Paneer Manchurian,Rs.125
Sweet & Sour Paneer,Rs.135
Rice Main Course,
China Shanghai Spcl Rice (Non-Veg),Rs.160
Steamed Rice,Rs.40
Veg Fried Rice,Rs.80
Egg Fried Rice,Rs.100
Chicken Fried Rice (F),Rs.130
Mixed Fried Rice,Rs.150
Schezwan Rice Veg,Rs.100
Schezwan Rice Egg,Rs.110
Schezwan Rice Chicken,Rs.120
Schezwan Rice Mixed,Rs.150
Biryani Main Course,
Aloo Biryani,Rs.60
Egg Biryani (F),Rs.70
Chicken Biryani (F),Rs.80
Mutton Biryani,Rs.110
Chow Main Course,
American Chop Suey (Veg),Rs.125
American Chop Suey (Egg),Rs.135
American Chop Suey (Chicken),Rs.145
American Chop Suey (Mixed),Rs.165
